{ heapUsed: 12083696, heapTotal: 20037632, rss: 52301824, now: 1711316555975 }
{ heapUsed: 68926696, heapTotal: 90972160, rss: 130396160, now: 1711316561103 }
{ heapUsed: 109738400, heapTotal: 136589312, rss: 178184192, now: 1711316566104 }
{ heapUsed: 153747104, heapTotal: 184938496, rss: 225452032, now: 1711316571106 }
{ heapUsed: 158990336, heapTotal: 188755968, rss: 230379520, now: 1711316576120 }
{ heapUsed: 159145032, heapTotal: 188755968, rss: 230400000, now: 1711316581135 }
{ heapUsed: 159321592, heapTotal: 188755968, rss: 230395904, now: 1711316586138 }
{ heapUsed: 153308704, heapTotal: 158027776, rss: 199983104, now: 1711316591149 }
{ heapUsed: 153719904, heapTotal: 158027776, rss: 199811072, now: 1711316596163 }
{ heapUsed: 154065224, heapTotal: 158027776, rss: 199864320, now: 1711316601178 }
{ heapUsed: 154260680, heapTotal: 158027776, rss: 199880704, now: 1711316606180 }
{ heapUsed: 153835088, heapTotal: 158027776, rss: 199294976, now: 1711316611183 }
{ heapUsed: 154018056, heapTotal: 158027776, rss: 199421952, now: 1711316616187 }
{ heapUsed: 154230600, heapTotal: 158027776, rss: 199651328, now: 1711316621202 }
{ heapUsed: 153987856, heapTotal: 158552064, rss: 199434240, now: 1711316626213 }
{ heapUsed: 154452144, heapTotal: 158552064, rss: 199786496, now: 1711316631223 }
{ heapUsed: 154577096, heapTotal: 158552064, rss: 199933952, now: 1711316636239 }
{ heapUsed: 154476576, heapTotal: 159076352, rss: 199843840, now: 1711316641239 }
{ heapUsed: 155137584, heapTotal: 159338496, rss: 200335360, now: 1711316646243 }
{ heapUsed: 155356512, heapTotal: 159338496, rss: 200589312, now: 1711316651255 }
{ heapUsed: 155199288, heapTotal: 160649216, rss: 202084352, now: 1711316656266 }
{ heapUsed: 155477728, heapTotal: 160649216, rss: 202403840, now: 1711316661278 }
{ heapUsed: 155343888, heapTotal: 159862784, rss: 201924608, now: 1711316666292 }
{ heapUsed: 155449760, heapTotal: 159862784, rss: 202620928, now: 1711316671299 }
{ heapUsed: 156153464, heapTotal: 159862784, rss: 202661888, now: 1711316676306 }
{ heapUsed: 155985232, heapTotal: 161435648, rss: 203513856, now: 1711316681308 }
{ heapUsed: 156246160, heapTotal: 161435648, rss: 203780096, now: 1711316686321 }
{ heapUsed: 156138864, heapTotal: 160387072, rss: 203325440, now: 1711316691331 }
{ heapUsed: 156408696, heapTotal: 160387072, rss: 203345920, now: 1711316696344 }
{ heapUsed: 156523816, heapTotal: 160387072, rss: 203350016, now: 1711316701357 }
{ heapUsed: 156268264, heapTotal: 161959936, rss: 203911168, now: 1711316706365 }
{ heapUsed: 156521792, heapTotal: 161959936, rss: 204189696, now: 1711316711376 }
