{ heapUsed: 18699272, heapTotal: 29794304, rss: 59424768, now: 1711316605767 }
{ heapUsed: 59620984, heapTotal: 83816448, rss: 124166144, now: 1711316610786 }
{ heapUsed: 97099416, heapTotal: 121692160, rss: 164339712, now: 1711316615787 }
{ heapUsed: 134582144, heapTotal: 166993920, rss: 210137088, now: 1711316620788 }
{ heapUsed: 132734584, heapTotal: 168632320, rss: 211787776, now: 1711316625790 }
{ heapUsed: 132941416, heapTotal: 168632320, rss: 211787776, now: 1711316630802 }
{ heapUsed: 133101672, heapTotal: 168632320, rss: 211775488, now: 1711316635816 }
{ heapUsed: 127607464, heapTotal: 132399104, rss: 175370240, now: 1711316640823 }
{ heapUsed: 127900440, heapTotal: 132661248, rss: 175644672, now: 1711316645828 }
{ heapUsed: 128083816, heapTotal: 132661248, rss: 175828992, now: 1711316650843 }
{ heapUsed: 128307856, heapTotal: 132661248, rss: 176037888, now: 1711316655850 }
{ heapUsed: 128478464, heapTotal: 132661248, rss: 176308224, now: 1711316660862 }
{ heapUsed: 127795688, heapTotal: 131612672, rss: 175439872, now: 1711316665864 }
{ heapUsed: 127912656, heapTotal: 131612672, rss: 175443968, now: 1711316670869 }
{ heapUsed: 128150144, heapTotal: 131612672, rss: 175464448, now: 1711316675876 }
{ heapUsed: 128355016, heapTotal: 131612672, rss: 175489024, now: 1711316680877 }
{ heapUsed: 128507120, heapTotal: 131612672, rss: 175489024, now: 1711316685898 }
{ heapUsed: 127814448, heapTotal: 131612672, rss: 174768128, now: 1711316690901 }
{ heapUsed: 128031968, heapTotal: 131612672, rss: 174981120, now: 1711316695912 }
{ heapUsed: 128180408, heapTotal: 131612672, rss: 175132672, now: 1711316700927 }
{ heapUsed: 128302920, heapTotal: 131612672, rss: 175251456, now: 1711316705936 }
{ heapUsed: 128514536, heapTotal: 131612672, rss: 175468544, now: 1711316710947 }
{ heapUsed: 136169608, heapTotal: 141312000, rss: 185163776, now: 1711316715954 }
{ heapUsed: 136397488, heapTotal: 141312000, rss: 185167872, now: 1711316720959 }
{ heapUsed: 136574352, heapTotal: 141312000, rss: 185167872, now: 1711316725961 }
{ heapUsed: 136686640, heapTotal: 141312000, rss: 185167872, now: 1711316730971 }
{ heapUsed: 136832272, heapTotal: 141312000, rss: 185171968, now: 1711316735972 }
{ heapUsed: 136134872, heapTotal: 140263424, rss: 184131584, now: 1711316740976 }
{ heapUsed: 136224952, heapTotal: 140263424, rss: 184131584, now: 1711316745981 }
{ heapUsed: 136374848, heapTotal: 140263424, rss: 184131584, now: 1711316750996 }
{ heapUsed: 136482688, heapTotal: 140263424, rss: 184131584, now: 1711316755997 }
{ heapUsed: 136580216, heapTotal: 140263424, rss: 184131584, now: 1711316761000 }
{ heapUsed: 136780168, heapTotal: 140263424, rss: 184213504, now: 1711316765999 }
{ heapUsed: 136914888, heapTotal: 140263424, rss: 184250368, now: 1711316771011 }
{ heapUsed: 136103792, heapTotal: 140263424, rss: 183255040, now: 1711316776012 }
{ heapUsed: 136357712, heapTotal: 140263424, rss: 183414784, now: 1711316781020 }
